botanical_name,common_name,Species ID,family_botanical_name,native,EOL_ID,EOL_overview_URL,simplified_IUCN_status,IUCN_status,IUCN_DOI_or_URL,shade_production,form,type,Cal_IPC_rating,CAL_IPC_url,Irrigation_Requirements
Acacia baileyana,BAILEY ACACIA,144,Fabaceae,exotic,649008,http://eol.org/pages/649008/overview,not listed,not listed,,dense,spreading,evergreen,watch,https://www.cal-ipc.org/plants/risk/acacia-baileyana-risk/,"none, once established"
Acacia baileyana 'Purpurea',Purple Acacia,1102,Fabaceae,exotic,649008,http://eol.org/pages/649008/overview,not listed,not listed,,dense,spreading,evergreen,watch,https://www.cal-ipc.org/plants/risk/acacia-baileyana-risk/,"none, once established"
Acacia cognata,River Wattle,274,Fabaceae,exotic,660740,http://eol.org/pages/660740/overview,not listed,not listed,,dense,"small, spreading",,,,
Acacia longifolia,Sydney Golden Wattle,338,Fabaceae,exotic,690308,http://eol.org/pages/690308/overview,not listed,not listed,,dense,rounded,,,,
Acacia melanoxylon,BLACK ACACIA,145,Fabaceae,exotic,8684941,http://eol.org/pages/8684941/overview,not listed,not listed,,dense,rounded,evergreen,limited,https://www.cal-ipc.org/plants/paf/acacia-melanoxylon-plant-assessment-form/,"none, once established"
Acacia stenophylla,Shoestring Acacia,415,Fabaceae,exotic,643396,http://eol.org/pages/643396/overview,not listed,not listed,,filtered,"weeping, pendulous",,,,
Acca sellowiana,Pinapple Guava,207,Myrtaceae,exotic,2508674,http://eol.org/pages/2508674/overview,not listed,not listed,,filtered,rounded,,,,
Acer palmatum,JAPANESE MAPLE,188,Sapindaceae,exotic,596824,http://eol.org/pages/596824/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T193845A2285627.en,dense,"spreading, vase",,,,moderate
Acer paxii,Acer Paxii,137,Sapindaceae,exotic,2888996,http://eol.org/pages/2888996/overview,not listed,not listed,,dense,rounded,,,,
Acer rubrum,Red Maple,104,Sapindaceae,exotic,582246,http://eol.org/pages/582246/overview,Least Concern,Learn Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T193860A2287111.en,filtered,"Conical, rounded, Spreading",,,,
Acer saccharinum,SILVER MAPLE,115,Sapindaceae,exotic,583072,http://eol.org/pages/583072/overview,Least Concern,Learn Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T193862A2287256.en,dense,"spreading, vase",,,,
Acer spp.,Maple,72,Sapindaceae,exotic,47125858,https://eol.org/pages/47125858/overview,not listed,not listed,,dense,rounded,,,,
Acmena smithii,LILLY-PILLY TREE,195,Myrtaceae,exotic,47381883,http://eol.org/pages/47381883/overview,not listed,not listed,,dense,rounded,evergreen,,,
Afrocarpus gracilior,FERN PINE,46,Podocarpaceae,exotic,1033605,http://eol.org/pages/1033605/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42439A2980350.en,dense,rounded,,,,
Afrocarpus macrophyllus,YEW PINE,134,Podocarpaceae,exotic,1059922,http://eol.org/pages/1059922/overview,not listed,not listed,,dense,rounded,,,,
Agathis robusta,Queensland Kauri,269,Araucariaceae,exotic,1033628,http://eol.org/pages/1033628/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T16437966A2960124.en,dense,rounded,,,,
Agonis flexuosa,PEPPERMINT TREE,307,Myrtaceae,exotic,5448625,http://eol.org/pages/5448625/overview,not listed,not listed,,filtered,pendulous,,,,minimal
Ailanthus altissima,TREE OF HEAVEN,233,Simaroubaceae,exotic,5614169,http://eol.org/pages/5614169/overview,not listed,not listed,,dense,"spreading, vase",,moderate,https://www.cal-ipc.org/plants/paf/ailanthus-altissima-plant-assessment-form/,
Albizia julibrissin,SILK TREE,76,Fabaceae,exotic,640054,http://eol.org/pages/640054/overview,not listed,not listed,,filtered,rounded,deciduous,,,minimal
Allocasuarina verticillata,Drooping She-Oak,1881,Casuarinaceae,exotic,628407,http://eol.org/pages/628407/overview,not listed,not listed,,filtered,"vase, pendulous",,,,
Alnus cordata,ITALIAN ALDER,187,Betulaceae,exotic,1145955,http://eol.org/pages/1145955/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T194657A117268007.en,dense,"Conical, Spreading",,,,moderate
Alnus rhombifolia,WHITE ALDER,129,Betulaceae,native,1145613,http://eol.org/pages/1145613/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T194648A2355642.en,dense,"Columnar, Conical, Rounded",,,,moderate
Angophora costata,Gum Myrtle,622,Myrtaceae,exotic,630874,http://eol.org/pages/630874/overview,not listed,not listed,,dense,vase,,,,
Araucaria bidwillii,BUNYA-BUNYA,150,Araucariaceae,exotic,323342,http://eol.org/pages/323342/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2011-2.RLTS.T42195A10660714.en,dense,"Conical, Spreading",evergreen,,,
Araucaria columnaris,STAR PINE,306,Araucariaceae,exotic,988571,http://eol.org/pages/988571/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T42196A10661112.en,dense,"Conical, Spreading",evergreen,,,moderate
Araucaria heterophylla,NORFOLK ISLAND PINE,84,Araucariaceae,exotic,1033727,http://eol.org/pages/1033727/overview,Vulnerable,Vulnerable D2,http://dx.doi.org/10.2305/IUCN.UK.2011-2.RLTS.T30497A9548582.en,dense,"Conical, Spreading",evergreen,,,moderate
Arbutus 'Marina',MARINA ARBUTUS,486,Ericaceae,exotic,71122,http://eol.org/pages/71122/overview,not listed,not listed,,dense,rounded,evergreen,,,
Arbutus unedo,STRAWBERRY TREE,315,Ericaceae,exotic,583608,http://eol.org/pages/583608/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T202930A68076133.en,dense,rounded,evergreen,,,minimal
Archontophoenix cunninghamiana,KING PALM,63,Arecaceae,exotic,1136266,http://eol.org/pages/1136266/overview,not listed,not listed,,"little, none",palm,evergreen,,,
Asphalted well,Asphalted well,638,,,,,not listed,not listed,,,,,,,
Auranticarpa rhombifolium,QUEENSLAND PITTOSPORUM,100,Pittosporaceae,exotic,5556305,http://eol.org/pages/5556305/overview,not listed,not listed,,dense,rounded,,,,
Bauhinia blakeana,HONG KONG ORCHID TREE,250,Fabaceae,exotic,641500,http://eol.org/pages/641500/overview,not listed,not listed,,dense,"pendulous, spreading",,,,minimal
Bauhinia variegata,Purple Orchid Tree,97,Fabaceae,exotic,702916,http://eol.org/pages/702916/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2012.RLTS.T19893142A20028421.en,dense,"pendulous, spreading",,,,minimal
Betula pendula,EUROPEAN WHITE BIRCH,241,Betulaceae,exotic,1149364,http://eol.org/pages/1149364/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T62535A3115662.en,filtered,"Columnar, Pendulous",deciduous,,,moderate
Brachychiton acerifolius,Australian Flame Tree,172,Malvaceae,exotic,5420372,http://eol.org/pages/5420372/overview,not listed,not listed,,dense,rounded,deciduous,,,
Brachychiton populneus,BOTTLE TREE,12,Malvaceae,exotic,487630,http://eol.org/pages/487630/overview,not listed,not listed,,dense,rounded,evergreen,,,minimal
Brahea armata,MEXICAN BLUE PALM,74,Arecaceae,exotic,1121077,http://eol.org/pages/1121077/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T55948517A56756065.en,"little, none",palm,evergreen,,,minimal
Brahea brandegeei,San Jose Hesper Palm,380,Arecaceae,exotic,47389352,http://eol.org/pages/47389352/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T55948714A55948834.en,"little, none",palm,evergreen,,,
Brahea edulis,GUADALUPE PALM,50,Arecaceae,exotic,1121015,http://eol.org/pages/1121015/overview,Endangered,Endangered C1,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38455A10120521.en,"little, none",palm,evergreen,,,minimal
Butia capitata,PINDO PALM,206,Arecaceae,exotic,1003987,http://eol.org/pages/1003987/overview,not listed,not listed,,"little, none",palm,evergreen,,,moderate
Calocedrus decurrens,INCENSE CEDAR,30,Cupressaceae,native,1061623,http://eol.org/pages/1061623/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42210A2962006.en,dense,conical,evergreen,,,"none, once established"
Calodendrum capense,CAPE CHESTNUT,153,Rutaceae,exotic,5623469,http://eol.org/pages/5623469/overview,not listed,not listed,,dense,rounded,,,,moderate
Carya illinoinensis,Pecan,92,Juglandaceae,exotic,594985,https://eol.org/pages/594985/overview,not listed,not listed,,dense,"rounded, spreading",deciduous,,,
Casimiroa edulis,WHITE SAPOTE,243,Rutaceae,exotic,47126587,https://eol.org/pages/47126587/overview,not listed,not listed,,dense,rounded,,,,moderate
Cassia leptophylla,GOLD MEDALLION TREE,252,Fabaceae,exotic,640224,http://eol.org/pages/640224/overview,not listed,not listed,,filtered,rounded,,,,minimal
Castanea mollissima,CHINESE CHESTNUT,706,Fagaceae,exotic,1148512,http://eol.org/pages/1148512/overview,not listed,not listed,,dense,rounded,,,,minimal
Casuarina cunninghamiana,RIVER SHE-OAK,107,Casuarinaceae,exotic,629957,http://eol.org/pages/629957/overview,not listed,not listed,,filtered,"Columnar, Conical",evergreen,,,minimal
Catalpa hybrida,Hybrid Catalpa,1164,Bignoniaceae,exotic,11888718,https://eol.org/pages/11888718,not listed,not listed,,dense,rounded,,,,
